,exposure_limits,hazards,reactivity
10,TWA 200 ppm (705 mg/m3),"['H225: Highly Flammable liquid and vapor [Danger Flammable liquids]', 'H335: May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]', 'H336: May cause drowsiness or dizziness [Warning Specific target organ toxicity, single exposure; Narcotic effects]']","DIETHYL KETONE is incompatible with the following: Strong oxidizers, alkalis, mineral acids, (hydrogen peroxide + nitric acid) (NIOSH, 2016)."
11,TWA 10 ppm (25 mg/m3) ST 15 ppm (37 mg/m3),"['H226: Flammable liquid and vapor [Warning Flammable liquids]', 'H314: Causes severe skin burns and eye damage [Danger Skin corrosion/irritation]']","Mixing acetic acid in equal molar portions with any of the following substances in a closed container caused the temperature and pressure to increase: 2-Aminoethanol, chlorosulfonic acid, ethylene diamine, ethyleneimine [NFPA 1991]. Acetic acid or acetic anhydride can explode with nitric acid if not kept cold. Potassium hydroxide residue in a catalyst pot reacted violently when acetic acid was added [MCA Case History 920. 1963]. During the production of terephthalic acid, n-xylene is oxidized in the presence of acetic acid. During these processes, detonating mixtures may be produced. Addition of a small amount of water may largely eliminate the risk of explosion [NFPA 491M.1991.p. 7]. Acetaldehyde was put in drums previously pickled with acetic acid. The acid caused the acetaldehyde to polymerize and the drums got hot and vented [MCA Case History 1764. 1971]. A mixture of ammonium nitrate and acetic acid ignites when warmed, especially if concentrated [Von Schwartz 1918. p. 322 ]. Several laboratory explosions have been reported using acetic acid and phosphorus trichloride to form acetyl chloride. Poor heat control probably caused the formation of phosphine [J. Am. Chem. Soc. 60:488. 1938]. Acetic acid forms explosive mixtures with p-xylene and air (Shraer, B.I. 1970. Khim. Prom. 46(10):747-750.)."
12,C 5 ppm (20 mg/m3),"['H226: Flammable liquid and vapor [Warning Flammable liquids]', 'H302: Harmful if swallowed [Warning Acute toxicity, oral]', 'H314: Causes severe skin burns and eye damage [Danger Skin corrosion/irritation]', 'H332: Harmful if inhaled [Warning Acute toxicity, inhalation]']","ACETIC ANHYDRIDE reacts violently on contact with water, steam, methanol, ethanol, glycerol and boric acid. Reaction with water is particularly dangerous in presence with mineral acids (e.g., nitric, perchloric, chromic, sulfuric acid) [Chem. Eng. News 25, 3458]. Potentially explosive reactions with oxidizing reagents such as barium peroxide, chromium trioxide, chromic acid, hypochlorous acid, nitric acid, perchloric acid, peroxyacetic acid, potassium permanganate, hydrogen peroxide. [Sax, 9th ed., 1996, p. 15]. Reacts violently with metal nitrates used as nitrating agents [Davey W. et al., Chem. & Ind., 1948, p. 814]."
13,,"['H302 (98.63%): Harmful if swallowed [Warning Acute toxicity, oral]', 'H312 (34.25%): Harmful in contact with skin [Warning Acute toxicity, dermal]', 'H315 (68.49%): Causes skin irritation [Warning Skin corrosion/irritation]', 'H319 (68.49%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]', 'H332 (31.51%): Harmful if inhaled [Warning Acute toxicity, inhalation]']",
14,C 50 ppm (150 mg/m3) [skin],"['H226: Flammable liquid and vapor [Warning Flammable liquids]', 'H302: Harmful if swallowed [Warning Acute toxicity, oral]', 'H315: Causes skin irritation [Warning Skin corrosion/irritation]', 'H318: Causes serious eye damage [Danger Serious eye damage/eye irritation]', 'H335: May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]', 'H336: May cause drowsiness or dizziness [Warning Specific target organ toxicity, single exposure; Narcotic effects]']",N-BUTYL ALCOHOL attacks plastics. [Handling Chemicals Safely 1980. p. 236]. Mixtures with concentrated sulfuric acid and strong hydrogen peroxide can cause explosions. May form explosive butyl hypochlorite by reacting with hypochlorous acid. May form butyl explosive butyl hypochlorite with chlorine.
15,No indication can be given about the rate at which a harmful concentration of this substance in the air is reached on evaporation at 20 °C.,"['H226: Flammable liquid and vapor [Warning Flammable liquids]', 'H315: Causes skin irritation [Warning Skin corrosion/irritation]', 'H319: Causes serious eye irritation [Warning Serious eye damage/eye irritation]']","CYCLOPENTANONE polymerizes easily, especially in the presence of acids. Can react with oxidizing materials, i.e. hydrogen peroxide. (NTP, 1992)"
16,"8 hr Time Weighted Avg (TWA): 0.5 ppm, skin.","['Reported as not meeting GHS hazard criteria by 1 of 963 companies. For more detailed information, please visit  ECHA C&L website', 'Of the 19 notification(s) provided by 962 of 963 companies with hazard statement code(s):', 'H225 (20.37%): Highly Flammable liquid and vapor [Danger Flammable liquids]', 'H302 (97.19%): Harmful if swallowed [Warning Acute toxicity, oral]', 'H312 (77.65%): Harmful in contact with skin [Warning Acute toxicity, dermal]', 'H315 (79.94%): Causes skin irritation [Warning Skin corrosion/irritation]', 'H317 (11.33%): May cause an allergic skin reaction [Warning Sensitization, Skin]', 'H319 (94.39%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]', 'H330 (79.94%): Fatal if inhaled [Danger Acute toxicity, inhalation]', 'H331 (14.14%): Toxic if inhaled [Danger Acute toxicity, inhalation]', 'H335 (93.66%): May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]', 'H411 (83.16%): Toxic to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]']","DIMETHYL DISULFIDE is a reducing agent. A dangerous fire hazard when exposed to oxidizing materials. Emits toxic fumes of oxides of sulfur when heated to decomposition or on contact with acids [Sax, 9th ed., 1996, p. 1320]."
17,Ca C 1 ppm (3.6 mg/m3) [30-minute] See Appendix A,"['H225: Highly Flammable liquid and vapor [Danger Flammable liquids]', 'H319: Causes serious eye irritation [Warning Serious eye damage/eye irritation]', 'H335: May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]', 'H351: Suspected of causing cancer [Warning Carcinogenicity]']","DIOXANE is a flammable liquid; when exposed to air it undergoes autooxidation with formation of peroxides. In the distillation process peroxides will concentrate causing violent explosion. The addition complex with sulfur trioxide (1:1) sometimes decomposes violently on storing at room temperature [Sisler, H. H. et al., Inorg. Synth., 1947, 2, p. 174]. Evaporation of boron trifluoride in aqueous dioxane with nitric acid led to an explosion upon addition of perchloric acid [MCA Guide, 1972, p. 312]. Explosive reaction with Raney nickel catalyst above 210° C {Mozingo R., Org. Synth., 1955, Coll. Vol. 3, p. 182]."
18,TWA 100 ppm (435 mg/m3) ST 125 ppm (545 mg/m3),"['H225: Highly Flammable liquid and vapor [Danger Flammable liquids]', 'H304: May be fatal if swallowed and enters airways [Danger Aspiration hazard]', 'H332: Harmful if inhaled [Warning Acute toxicity, inhalation]', 'H373: Causes damage to organs through prolonged or repeated exposure [Warning Specific target organ toxicity, repeated exposure]']","ETHYLBENZENE can react vigorously with strong oxidizing materials (NTP, 1992)."
19,TWA 5 ppm (9 mg/m3),['H314: Causes severe skin burns and eye damage [Danger Skin corrosion/irritation]'],
20,TWA 85 ppm (350 mg/m3) C 440 ppm (1800 mg/m3) [15-minute],"['H225 (100%): Highly Flammable liquid and vapor [Danger Flammable liquids]', 'H304 (100%): May be fatal if swallowed and enters airways [Danger Aspiration hazard]', 'H315 (100%): Causes skin irritation [Warning Skin corrosion/irritation]', 'H336 (97.73%): May cause drowsiness or dizziness [Warning Specific target organ toxicity, single exposure; Narcotic effects]', 'H400 (95.9%): Very toxic to aquatic life [Warning Hazardous to the aquatic environment, acute hazard]', 'H410 (99.9%): Very toxic to aquatic life with long lasting effects [Warning Hazardous to the aquatic environment, long-term hazard]']","HEPTANE is incompatible with the following: Strong oxidizers (NIOSH, 2016)."
21,Highly flammable. Insoluble in water.,"['Reported as not meeting GHS hazard criteria by 1 of 960 companies. For more detailed information, please visit  ECHA C&L website', 'Of the 8 notification(s) provided by 959 of 960 companies with hazard statement code(s):', 'H225 (99.48%): Highly Flammable liquid and vapor [Danger Flammable liquids]']",
22,TWA 100 ppm (310 mg/m3),"['H226: Flammable liquid and vapor [Warning Flammable liquids]', 'H302: Harmful if swallowed [Warning Acute toxicity, oral]', 'H332: Harmful if inhaled [Warning Acute toxicity, inhalation]']","The nitroparaffins, nitromethane, nitropropane, etc. form salts with inorganic bases such as calcium hydroxide. The dry salts are explosive [Chem. Eng. News 30:2344. 1952]. Nitroethane and other nitro compounds are mild oxidizers and should not be heated with easily oxidizable hydrocarbons under confinement [Chem. Eng. News 30:2344. 1940]."
23,See Appendix D,"['H226: Flammable liquid and vapor [Warning Flammable liquids]', 'H302: Harmful if swallowed [Warning Acute toxicity, oral]']","NITROMETHANE may explode if heated or strongly shocked, especially if mixed with acids, bases [Handling Chemicals Safely 1980. p. 687], acetone, aluminum powder, ammonium salts in the presence of organic solvents, haloforms (chloroform, bromoform), or hydrazine in methanol. Ignites on contact with alkyl aluminum or alkyl zinc halides. Reacts violently with strong bases (potassium hydroxide, calcium hydroxide), amines (1,2-diaminoethane, hydrazine), bromine, carbon disulfide, hydrocarbons, formaldehyde, metal oxides, lithium aluminum hydride, sodium hydride, strong oxidizing agents (lithium perchlorate, nitric acid, calcium hypochlorite). Reacts with aqueous silver nitrate to form explosive silver fulminate [Bretherick, 5th ed., 1995, p. 183]. Mixtures of nitromethane and aluminum chloride may explode when organic matter is present [Chem. Eng. News 26:2257. 1948]. Nitromethane, either alone or in a mixture with methanol and castor oil, has a delayed but violent reaction with powdered calcium hypochlorite [Haz. Home Chem 1963]. Nitromethane reacts violently with hexamethylbenzene [Lewis 2544]. Nitromethane is strongly sensitized by hydrazine [Forshey, D. RR. et al, Explosivestoffe, 1969, 17(6), 125-129]."
24,TWA 75 ppm (350 mg/m3) C 385 ppm (1800 mg/m3) [15-minute],"['H225 (100%): Highly Flammable liquid and vapor [Danger Flammable liquids]', 'H302 (32.39%): Harmful if swallowed [Warning Acute toxicity, oral]', 'H304 (100%): May be fatal if swallowed and enters airways [Danger Aspiration hazard]', 'H312 (32.39%): Harmful in contact with skin [Warning Acute toxicity, dermal]', 'H315 (100%): Causes skin irritation [Warning Skin corrosion/irritation]', 'H319 (34.03%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]', 'H336 (99.82%): May cause drowsiness or dizziness [Warning Specific target organ toxicity, single exposure; Narcotic effects]', 'H400 (95.44%): Very toxic to aquatic life [Warning Hazardous to the aquatic environment, acute hazard]', 'H410 (98.36%): Very toxic to aquatic life with long lasting effects [Warning Hazardous to the aquatic environment, long-term hazard]']","May be incompatible with strong oxidizing agents like nitric acid. Charring may occur followed by ignition of unreacted material and other nearby combustibles. In other settings, mostly unreactive. Not affected by aqueous solutions of acids, alkalis, most oxidizing agents, and most reducing agents. When heated sufficiently or when ignited in the presence of air, oxygen or strong oxidizing agents, burns exothermically to produce mostly carbon dioxide and water."
25,,"['H225 (100%): Highly Flammable liquid and vapor [Danger Flammable liquids]', 'H315 (84.38%): Causes skin irritation [Warning Skin corrosion/irritation]', 'H319 (84.38%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]', 'H335 (81.25%): May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]']",
26,"Workplace Environmental Exposure Level (WEEL): 8-hr Time-weighted Average (TWA) 1 ppm, skin.","['H225: Highly Flammable liquid and vapor [Danger Flammable liquids]', 'H311: Toxic in contact with skin [Danger Acute toxicity, dermal]', 'H314: Causes severe skin burns and eye damage [Danger Skin corrosion/irritation]', 'H331: Toxic if inhaled [Danger Acute toxicity, inhalation]']","PIPERIDINE neutralizes acids in exothermic reactions to form salts plus water. May be incompatible with isocyanates, halogenated organics, peroxides, phenols (acidic), epoxides, anhydrides, and acid halides. Flammable gaseous hydrogen may be generated in combination with strong reducing agents, such as hydrides."
27,TWA 6 ppm (14 mg/m3),"['H225 (100%): Highly Flammable liquid and vapor [Danger Flammable liquids]', 'H300 (97.96%): Fatal if swallowed [Danger Acute toxicity, oral]', 'H310 (93.88%): Fatal in contact with skin [Danger Acute toxicity, dermal]', 'H319 (91.84%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]', 'H332 (83.67%): Harmful if inhaled [Warning Acute toxicity, inhalation]']","PROPIONITRILE is incompatible with strong acids, strong bases, strong oxidizing agents and strong reducing agents. After refluxing for 24 hours at 221°F, a mixture of this compound with N-bromosuccinimide exploded. (NTP, 1992)"
28,,"['H226: Flammable liquid and vapor [Warning Flammable liquids]', 'H332: Harmful if inhaled [Warning Acute toxicity, inhalation]']",
29,TWA 5 ppm (15 mg/m3),"['H225: Highly Flammable liquid and vapor [Danger Flammable liquids]', 'H302: Harmful if swallowed [Warning Acute toxicity, oral]', 'H312: Harmful in contact with skin [Warning Acute toxicity, dermal]', 'H332: Harmful if inhaled [Warning Acute toxicity, inhalation]']",
30,TWA 100 ppm (305 mg/m3) ST 150 ppm (455 mg/m3),"['H226 (100%): Flammable liquid and vapor [Warning Flammable liquids]', 'H319 (100%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]', 'H335 (93.36%): May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]', 'H336 (100%): May cause drowsiness or dizziness [Warning Specific target organ toxicity, single exposure; Narcotic effects]']","Attacks plastics. [Handling Chemicals Safely 1980. p. 236]. Acetyl bromide reacts violently with alcohols or water (Merck 11th ed. 1989). Mixtures of alcohols with concentrated sulfuric acid and strong hydrogen peroxide can cause explosions. Example: An explosion will occur if dimethylbenzylcarbinol is added to 90% hydrogen peroxide then acidified with concentrated sulfuric acid. Mixtures of ethyl alcohol with concentrated hydrogen peroxide form powerful explosives. Mixtures of hydrogen peroxide and 1-phenyl-2-methyl propyl alcohol tend to explode if acidified with 70% sulfuric acid [Chem. Eng. News 45(43):73 1967; J, Org. Chem. 28:1893 1963]. Alkyl hypochlorites are violently explosive. They are readily obtained by reacting hypochlorous acid and alcohols either in aqueous solution or mixed aqueous-carbon tetrachloride solutions. Chlorine plus alcohols would similarly yield alkyl hypochlorites. They decompose in the cold and explode on exposure to sunlight or heat. Tertiary hypochlorites are less unstable than secondary or primary hypochlorites [NFPA 491 M 1991]. Base-catalysed reactions of isocyanates with alcohols should be carried out in inert solvents. Such reactions in the absence of solvents often occur with explosive violence [Wischmeyer 1969]."
31,TWA 150 ppm (530 mg/m3),"['Reported as not meeting GHS hazard criteria by 2 of 1235 companies. For more detailed information, please visit  ECHA C&L website', 'Of the 17 notification(s) provided by 1233 of 1235 companies with hazard statement code(s):', 'H225 (39.42%): Highly Flammable liquid and vapor [Danger Flammable liquids]', 'H302 (86.94%): Harmful if swallowed [Warning Acute toxicity, oral]', 'H315 (14.6%): Causes skin irritation [Warning Skin corrosion/irritation]', 'H319 (84.51%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]', 'H335 (74.78%): May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]']","METHYL PROPYL KETONE is incompatible with oxidizing agents, strong bases and reducing agents. Reacts violently with bromine trifluoride (NTP, 1992)."
32,TWA 50 ppm (205 mg/m3) ST 75 ppm (300 mg/m3),"['H225: Highly Flammable liquid and vapor [Danger Flammable liquids]', 'H319: Causes serious eye irritation [Warning Serious eye damage/eye irritation]', 'H332: Harmful if inhaled [Warning Acute toxicity, inhalation]', 'H335: May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]']","METHYL ISOBUTYL KETONE is incompatible with caustic soda and other strong alkalis, hydrochloric acid, sulfuric acid and other strong inorganic acids, amines and oxidizing agents such as hydrogen peroxide, nitric acid, perchloric acid and chromium trioxide. It reacts violently with potassium tert-butoxide. It reacts vigorously with reducing materials. (NTP, 1992)."
33,TWA 100 ppm (375 mg/m3) ST 150 ppm (560 mg/m3),"['H225: Highly Flammable liquid and vapor [Danger Flammable liquids]', 'H304: May be fatal if swallowed and enters airways [Danger Aspiration hazard]', 'H315: Causes skin irritation [Warning Skin corrosion/irritation]', 'H336: May cause drowsiness or dizziness [Warning Specific target organ toxicity, single exposure; Narcotic effects]', 'H361d ***: Suspected of damaging the unborn child [Warning Reproductive toxicity]', 'H373 **: Causes damage to organs through prolonged or repeated exposure [Warning Specific target organ toxicity, repeated exposure]']","TOLUENE reacts vigorously with allyl chloride or other alkyl halides even at -70° C in the presence of ethyl aluminum dichloride or ethyl aluminum sesquichloride. Explosions have been reported [NFPA 491M 1991]. Incompatible with strong oxidizing agents. When added to a tank of sulfur dichloride, the tank over pressurized and ruptured in a reaction thought to be catalyzed by iron or iron(III) chloride [Chem. Eng. News, 1988, 66(32), 2]."
34,TWA 20 ppm (34 mg/m3),"['H225: Highly Flammable liquid and vapor [Danger Flammable liquids]', 'H302: Harmful if swallowed [Warning Acute toxicity, oral]', 'H312: Harmful in contact with skin [Warning Acute toxicity, dermal]', 'H319: Causes serious eye irritation [Warning Serious eye damage/eye irritation]', 'H332: Harmful if inhaled [Warning Acute toxicity, inhalation]']","ACETONITRILE decomposes when heated to produce deadly toxic hydrogen cyanide gas and oxides of nitrogen. Strongly reactive [Hawley]. May react vigorously with strong oxidizing reagents, sulfuric acid, chlorosulfonic acid, sulfur trioxide, perchlorates, nitrating reagents, and nitric acid. [Sax, 9th ed., 1996, p. 20]. Potentially explosive in contact with nitrogen-fluorine compounds (e.g., tetrafluorourea) [Fraser, G. W. et al., Chem. Comm., 1966, p. 532]."
35,"Evaporation at 20 °C is negligible; a harmful concentration of airborne particles can, however, be reached quickly on spraying.","['Reported as not meeting GHS hazard criteria by 1 of 308 companies. For more detailed information, please visit  ECHA C&L website', 'Of the 7 notification(s) provided by 307 of 308 companies with hazard statement code(s):', 'H226 (100%): Flammable liquid and vapor [Warning Flammable liquids]', 'H315 (11.4%): Causes skin irritation [Warning Skin corrosion/irritation]', 'H319 (11.73%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]', 'H335 (11.4%): May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]']",DIETHYL CARBONATE reacts with acids to liberate heat along with ethanol and carbon dioxide. Strong oxidizing acids may cause a vigorous reaction that is sufficiently exothermic to ignite the reaction products. Heat is also generated by the interaction with caustic solutions. Flammable hydrogen is generated by mixing with alkali metals and hydrides.
36,See Appendix D,"['H225: Highly Flammable liquid and vapor [Danger Flammable liquids]', 'H302: Harmful if swallowed [Warning Acute toxicity, oral]', 'H312: Harmful in contact with skin [Warning Acute toxicity, dermal]', 'H314: Causes severe skin burns and eye damage [Danger Skin corrosion/irritation]', 'H332: Harmful if inhaled [Warning Acute toxicity, inhalation]']","TRIETHYLAMINE reacts violently with oxidizing agents. Reacts with Al and Zn. Neutralizes acids in exothermic reactions to form salts plus water. May be incompatible with isocyanates, halogenated organics, peroxides, phenols (acidic), epoxides, anhydrides, and acid halides. Flammable gaseous hydrogen may be generated in combination with strong reducing agents, such as hydrides."
37,The vapour is mildly irritating to the eyes.,['H225: Highly Flammable liquid and vapor [Danger Flammable liquids]'],DIMETHYL CARBONATE reacts with acids to liberate heat along with methanol and carbon dioxide. Strong oxidizing acids may cause a vigorous reaction that is sufficiently exothermic to ignite the reaction products. Heat is also generated by the interaction with caustic solutions. Flammable hydrogen is generated by mixing with alkali metals and hydrides.
38,TWA 300 ppm (1050 mg/m3),"['H225: Highly Flammable liquid and vapor [Danger Flammable liquids]', 'H304: May be fatal if swallowed and enters airways [Danger Aspiration hazard]', 'H315: Causes skin irritation [Warning Skin corrosion/irritation]', 'H336: May cause drowsiness or dizziness [Warning Specific target organ toxicity, single exposure; Narcotic effects]', 'H400: Very toxic to aquatic life [Warning Hazardous to the aquatic environment, acute hazard]', 'H410: Very toxic to aquatic life with long lasting effects [Warning Hazardous to the aquatic environment, long-term hazard]']","Liquid nitrogen dioxide was fed into a nitration column containing hot CYCLOHEXANE, due to an error. An explosion resulted [MCA Case History 128(1962)] Incompatible with strong oxidizers."
39,"470 mg/m3, 100 ppm; peak limitation category: II(2); pregnancy risk group: D","['H225 (100%): Highly Flammable liquid and vapor [Danger Flammable liquids]', 'H304 (100%): May be fatal if swallowed and enters airways [Danger Aspiration hazard]', 'H315 (100%): Causes skin irritation [Warning Skin corrosion/irritation]', 'H336 (98.85%): May cause drowsiness or dizziness [Warning Specific target organ toxicity, single exposure; Narcotic effects]', 'H400 (94.46%): Very toxic to aquatic life [Warning Hazardous to the aquatic environment, acute hazard]', 'H410 (100%): Very toxic to aquatic life with long lasting effects [Warning Hazardous to the aquatic environment, long-term hazard]']","Saturated aliphatic hydrocarbons, such as ISOOCTANE, may be incompatible with strong oxidizing agents like nitric acid. Charring of the hydrocarbon may occur followed by ignition of unreacted hydrocarbon and other nearby combustibles. In other settings, aliphatic saturated hydrocarbons are mostly unreactive. They are not affected by aqueous solutions of acids, alkalis, most oxidizing agents, and most reducing agents."
40,TWA 50 ppm (150 mg/m3),"['H226: Flammable liquid and vapor [Warning Flammable liquids]', 'H315: Causes skin irritation [Warning Skin corrosion/irritation]', 'H318: Causes serious eye damage [Danger Serious eye damage/eye irritation]', 'H335: May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]', 'H336: May cause drowsiness or dizziness [Warning Specific target organ toxicity, single exposure; Narcotic effects]']","ISOBUTANOL is an alcohol. Flammable and/or toxic gases are generated by the combination of alcohols with alkali metals, nitrides, and strong reducing agents. They react with oxoacids and carboxylic acids to form esters plus water. Oxidizing agents convert them to aldehydes or ketones. Alcohols exhibit both weak acid and weak base behavior. They may initiate the polymerization of isocyanates and epoxides. This chemical is incompatible with strong oxidizers. (NTP, 1992)"
